"Survived","Fare","Emb","Class","SexN","Nage","AgeBin","Sib","Par","TitleC","TicketP","NCabin","CabinL"
0,7.25,1,1,1,2,1,3,2,1,1,1,1
1,71.2833,2,3,4,2,1,3,2,5,15,2,3
1,7.925,1,1,4,2,1,2,2,4,10,1,1
1,53.1,1,3,4,2,1,3,2,5,9,2,3
0,8.05,1,1,1,2,1,2,2,1,9,1,1
0,8.4583,1,1,1,1,0,2,2,1,9,1,1
0,51.8625,1,3,1,2,2,2,2,1,9,2,4
0,21.075,1,1,1,2,3,1,3,3,9,1,1
1,11.1333,1,1,4,2,1,2,3,5,9,1,1
1,30.0708,2,2,4,2,3,3,2,5,9,1,1
1,16.7,1,1,4,2,3,3,3,4,15,2,2
1,26.55,1,3,4,2,2,2,2,4,9,2,3
0,8.05,1,1,1,2,1,2,2,1,1,1,1
0,31.275,1,1,1,2,1,3,1,1,9,1,1
0,7.8542,1,1,4,2,3,2,2,4,9,1,1
1,16,1,2,4,2,2,2,2,5,9,1,1
0,29.125,1,1,1,2,3,1,3,3,9,1,1
1,13,1,2,1,1,0,2,2,1,9,1,1
0,18,1,1,4,2,1,3,2,5,9,1,1
1,7.225,2,1,4,1,0,2,2,5,9,1,1
0,26,1,2,1,2,1,2,2,1,9,1,1
1,13,1,2,1,2,1,2,2,1,9,2,4
1,8.0292,1,1,4,2,3,2,2,4,9,1,1
1,35.5,1,3,1,2,1,2,2,1,9,2,2
0,21.075,1,1,4,2,3,1,3,4,9,1,1
1,31.3875,1,1,4,2,1,3,1,5,9,1,1
0,7.225,2,1,1,1,0,2,2,1,9,1,1
0,263,1,3,1,2,1,1,3,1,9,2,3
1,7.8792,1,1,4,1,0,2,2,4,9,1,1
0,7.8958,1,1,1,1,0,2,2,1,9,1,1
0,27.7208,2,3,1,2,1,2,2,0,15,1,1
1,146.5208,2,3,4,1,0,3,2,5,15,2,4
1,7.75,1,1,4,1,0,2,2,4,9,1,1
0,10.5,1,2,1,2,2,2,2,1,8,1,1
0,82.1708,2,3,1,2,1,3,2,1,15,1,1
0,52,1,3,1,2,1,3,2,1,9,1,1
1,7.2292,2,1,1,1,0,2,2,1,9,1,1
0,8.05,1,1,1,2,1,2,2,1,1,1,1
0,18,1,1,4,2,1,3,2,4,9,1,1
1,11.2417,2,1,4,2,3,3,2,4,9,1,1
0,9.475,1,1,4,2,1,3,2,5,9,1,1
0,21,1,2,4,2,1,3,2,5,9,1,1
0,7.8958,2,1,1,1,0,2,2,1,9,1,1
1,41.5792,2,2,4,2,3,3,3,4,10,1,1
1,7.8792,1,1,4,2,1,2,2,4,9,1,1
0,8.05,1,1,1,1,0,2,2,1,0,1,1
0,15.5,1,1,1,1,0,3,2,1,9,1,1
1,7.75,1,1,4,1,0,2,2,4,9,1,1
0,21.6792,2,1,1,1,0,3,2,1,9,1,1
0,17.8,1,1,4,2,1,3,2,5,9,1,1
0,39.6875,1,1,1,2,3,1,3,3,9,1,1
0,7.8,1,1,1,2,1,2,2,1,1,1,1
1,76.7292,2,3,4,2,2,3,2,5,15,2,4
1,26,1,2,4,2,1,3,2,5,9,1,1
0,61.9792,2,3,1,2,2,2,3,1,9,2,4
1,35.5,1,3,1,1,0,2,2,1,9,2,3
1,10.5,1,2,4,2,1,2,2,4,8,1,1
0,7.2292,2,1,1,2,1,2,2,1,9,1,1
1,27.75,1,2,4,2,3,3,3,4,8,1,1
0,46.9,1,1,1,2,3,1,3,3,8,1,1
0,7.2292,2,1,1,2,1,2,2,1,9,1,1
1,80,1,3,4,2,1,2,2,4,9,2,4
0,83.475,1,3,1,2,1,3,2,1,9,2,3
0,27.9,1,1,1,2,3,1,3,3,9,1,1
0,27.7208,2,3,1,1,0,2,2,1,15,1,1
1,15.2458,2,1,1,1,0,3,3,3,9,1,1
1,10.5,1,2,4,2,1,2,2,5,8,2,3
0,8.1583,1,1,1,2,1,2,2,1,0,1,1
1,7.925,1,1,4,2,1,1,3,4,9,1,1
0,8.6625,1,1,1,2,1,3,2,1,9,1,1
0,10.5,1,2,1,2,1,2,2,1,8,1,1
0,46.9,1,1,4,2,1,1,3,4,8,1,1
0,73.5,1,2,1,2,1,2,2,1,4,1,1
0,14.4542,2,1,1,2,1,3,2,1,9,1,1
1,56.4958,1,1,1,2,1,2,2,1,9,1,1
0,7.65,1,1,1,2,1,2,2,1,9,2,3
0,7.8958,1,1,1,1,0,2,2,1,9,1,1
0,8.05,1,1,1,1,0,2,2,1,9,1,1
1,29,1,2,1,2,3,2,3,3,9,1,1
1,12.475,1,1,4,2,1,2,2,4,9,1,1
0,9,1,1,1,2,1,2,2,1,9,1,1
1,9.5,1,1,1,2,1,2,2,1,9,1,1
1,7.7875,1,1,4,1,0,2,2,4,9,1,1
0,47.1,1,3,1,2,1,2,2,1,9,1,1
1,10.5,1,2,4,2,1,2,2,4,4,1,1
1,15.85,1,1,4,2,1,1,2,5,9,1,1
0,34.375,1,1,1,2,1,3,3,1,2,1,1
0,8.05,1,1,1,1,0,2,2,1,3,1,1
1,263,1,3,4,2,1,1,3,4,9,2,3
0,8.05,1,1,1,2,1,2,2,1,9,1,1
0,8.05,1,1,1,2,1,2,2,1,9,1,1
0,7.8542,1,1,1,2,1,2,2,1,9,1,1
0,61.175,1,3,1,2,1,3,2,1,8,2,4
0,20.575,1,1,1,2,1,3,3,1,8,1,1
0,7.25,1,1,1,2,2,2,2,1,9,1,1
0,8.05,1,1,1,1,0,2,2,1,9,1,1
0,34.6542,2,3,1,2,2,2,2,1,15,2,2
1,63.3583,2,3,1,2,1,2,3,1,15,2,4
1,23,1,2,4,2,1,2,3,5,9,1,1
0,26,1,2,1,2,1,3,2,1,9,1,1
0,7.8958,1,1,4,2,1,2,2,4,9,1,1
0,7.8958,1,1,1,1,0,2,2,1,9,1,1
0,77.2875,1,3,1,2,1,2,3,1,9,2,4
0,8.6542,1,1,1,2,1,2,2,1,9,1,1
0,7.925,1,1,1,2,1,3,2,1,9,1,1
0,7.8958,1,1,1,2,1,2,2,1,9,1,1
1,7.65,1,1,4,2,1,2,2,4,9,1,1
1,7.775,1,1,1,1,0,2,2,1,9,1,1
0,7.8958,1,1,1,2,1,2,2,1,9,1,1
1,24.15,1,1,4,1,0,3,2,4,9,1,1
0,52,1,3,1,2,1,2,2,1,9,2,3
0,14.4542,2,1,4,2,3,3,2,4,9,1,1
0,8.05,1,1,1,2,1,2,2,1,9,1,1
0,9.825,1,1,4,2,1,3,2,4,9,1,1
0,14.4583,2,1,4,2,1,2,2,4,9,1,1
0,7.925,1,1,1,2,1,2,2,1,10,1,1
0,7.75,1,1,1,2,2,2,2,1,9,1,1
0,21,1,2,1,2,1,3,2,1,9,1,1
0,247.5208,2,3,1,2,1,2,3,1,15,2,4
0,31.275,1,1,4,2,3,1,3,4,9,1,1
0,73.5,1,2,1,2,1,3,2,1,4,1,1
0,8.05,1,1,1,1,0,2,2,1,1,1,1
0,30.0708,2,2,1,2,1,3,2,1,9,1,1
1,13,1,2,4,2,1,2,2,4,9,2,4
0,77.2875,1,3,1,2,2,2,3,1,9,2,4
1,11.2417,2,1,1,2,3,3,2,3,9,1,1
0,7.75,1,1,1,1,0,2,2,1,9,1,1
1,7.1417,1,1,1,2,1,2,2,1,9,1,1
1,22.3583,2,1,4,1,0,3,3,4,9,2,3
0,6.975,1,1,1,2,1,2,2,1,9,1,1
0,7.8958,2,1,1,2,1,2,2,1,9,1,1
0,7.05,1,1,1,2,1,2,2,1,3,1,1
0,14.5,1,1,4,2,1,3,2,5,1,1,1
1,26,1,2,4,2,1,3,2,5,9,1,1
0,13,1,2,1,2,1,2,2,1,8,1,1
0,15.0458,2,2,1,2,1,2,2,1,10,1,1
1,26.2833,1,3,4,2,1,2,3,4,9,2,4
0,53.1,1,3,1,2,1,3,2,1,9,2,3
0,9.2167,1,1,1,2,1,2,2,1,9,1,1
0,79.2,2,3,1,2,1,2,2,1,15,2,4
0,15.2458,2,1,4,1,0,2,3,5,9,1,1
1,7.75,1,1,4,2,1,2,2,4,9,1,1
1,15.85,1,1,4,2,1,3,2,5,10,1,1
0,6.75,1,1,1,2,1,2,2,1,9,1,1
0,11.5,1,2,1,2,1,2,2,1,9,1,1
0,36.75,1,2,1,2,1,3,3,1,8,1,1
1,7.7958,1,1,1,2,1,2,2,1,9,1,1
0,34.375,1,1,4,2,3,3,3,4,2,1,1
0,26,1,2,1,2,1,2,3,1,9,2,3
0,13,1,2,1,2,1,2,2,0,9,1,1
0,12.525,1,2,1,2,2,2,2,0,0,1,1
1,66.6,1,3,4,2,1,3,2,5,9,2,3
0,8.05,1,1,1,2,2,2,2,1,1,1,1
0,14.5,1,1,1,2,1,2,3,1,1,1,1
0,7.3125,1,1,1,1,0,2,2,1,0,1,1
0,61.3792,2,3,1,2,2,2,3,1,15,1,1
1,7.7333,1,1,4,2,1,2,2,4,9,1,1
0,8.05,1,1,1,2,1,2,2,1,3,1,1
0,8.6625,1,1,1,1,0,2,2,1,9,1,1
0,69.55,1,1,1,1,0,1,3,3,8,1,1
0,16.1,1,1,1,2,1,2,3,1,9,1,1
1,15.75,1,2,4,2,1,2,2,5,8,1,1
0,7.775,1,1,1,2,1,2,2,1,9,1,1
0,8.6625,1,1,1,2,1,2,2,1,9,1,1
0,39.6875,1,1,1,2,3,1,3,3,9,1,1
1,20.525,1,1,1,2,3,2,3,3,9,1,1
1,55,1,3,4,1,0,2,3,5,9,2,4
0,27.9,1,1,4,2,1,3,1,5,9,1,1
0,25.925,1,3,1,1,0,2,2,1,15,1,1
0,56.4958,1,1,1,2,1,2,2,1,9,1,1
0,33.5,1,3,1,2,2,2,2,1,9,2,4
0,29.125,1,1,1,2,3,1,3,3,9,1,1
1,11.1333,1,1,4,2,3,3,3,4,9,1,1
0,7.925,1,1,1,2,1,2,2,1,10,1,1
0,30.6958,2,3,1,2,2,2,2,1,9,2,2
0,7.8542,1,1,1,2,1,3,3,1,9,1,1
0,25.4667,1,1,1,1,0,1,3,3,9,1,1
0,28.7125,2,3,4,2,2,2,2,4,15,2,3
0,13,1,2,1,2,1,2,2,1,9,1,1
0,0,1,1,1,2,1,2,2,1,9,1,1
0,69.55,1,1,4,1,0,1,3,4,8,1,1
0,15.05,2,2,1,1,0,2,2,1,10,1,1
0,31.3875,1,1,1,2,3,1,3,3,9,1,1
1,39,1,2,1,2,3,3,3,3,9,2,3
1,22.025,1,1,4,2,3,2,3,4,9,1,1
0,50,1,3,1,1,0,2,2,1,9,2,2
1,15.5,1,1,4,1,0,3,2,5,9,1,1
1,26.55,1,3,1,2,1,2,2,1,9,1,1
0,15.5,1,1,1,2,1,3,3,1,9,1,1
0,7.8958,1,1,1,2,1,2,2,1,9,1,1
1,13,1,2,4,2,1,2,2,5,9,1,1
0,13,1,2,1,2,1,2,2,1,9,1,1
1,7.8542,1,1,4,2,1,3,2,4,9,1,1
1,26,1,2,1,2,3,3,3,3,9,2,3
1,27.7208,2,3,4,2,1,2,2,5,15,2,4
1,146.5208,2,3,4,2,2,2,2,4,15,2,4
0,7.75,1,1,1,1,0,2,2,1,9,1,1
0,8.4042,1,1,1,2,1,2,3,1,9,1,1
1,7.75,1,1,4,1,0,2,2,4,9,1,1
0,13,1,2,4,2,1,2,2,4,9,1,1
0,9.5,1,1,1,2,1,2,2,1,9,1,1
0,69.55,1,1,1,1,0,1,3,1,8,1,1
0,6.4958,1,1,1,2,1,2,2,1,9,1,1
0,7.225,2,1,1,2,1,2,2,1,9,1,1
1,8.05,1,1,1,2,1,2,2,1,1,1,1
0,10.4625,1,1,4,2,3,2,3,4,9,2,2
0,15.85,1,1,1,2,1,3,2,1,9,1,1
1,18.7875,2,1,1,2,1,2,2,1,9,1,1
1,7.75,1,1,4,2,1,2,2,4,9,1,1
1,31,2,3,1,2,1,2,2,1,9,2,2
0,7.05,1,1,1,2,1,2,2,1,3,1,1
1,21,1,2,4,2,1,2,2,4,18,1,1
0,7.25,1,1,1,2,1,2,2,1,1,1,1
0,13,1,2,1,2,1,2,2,1,9,1,1
0,7.75,1,1,1,1,0,3,2,1,9,1,1
1,113.275,2,3,4,2,1,3,2,4,9,2,4
1,7.925,1,1,4,2,1,2,2,4,10,1,1
0,27,1,2,1,2,1,3,2,1,9,1,1
1,76.2917,2,3,4,2,1,2,2,4,9,2,4
0,10.5,1,2,1,2,1,2,2,1,2,1,1
1,8.05,1,1,1,2,1,2,2,1,3,1,1
0,13,1,2,1,2,1,2,2,1,9,1,1
0,8.05,1,1,1,2,2,2,2,1,9,1,1
0,7.8958,1,1,1,1,0,2,2,1,9,1,1
1,90,1,3,1,2,1,3,2,1,9,2,3
0,9.35,1,1,1,2,1,2,2,1,15,1,1
1,10.5,1,2,1,2,1,2,2,1,22,1,1
0,7.25,1,1,1,2,1,2,2,1,1,1,1
0,13,1,2,1,2,1,2,2,1,9,1,1
0,25.4667,1,1,4,1,0,1,3,4,9,1,1
1,83.475,1,3,4,2,1,3,2,5,9,2,3
0,7.775,1,1,1,2,1,2,2,1,9,1,1
0,13.5,1,2,1,2,2,2,2,1,9,1,1
1,31.3875,1,1,4,2,3,1,3,4,9,1,1
0,10.5,1,2,1,2,1,2,2,1,8,1,1
0,7.55,1,1,4,1,0,2,2,4,2,1,1
0,26,1,2,1,2,1,3,2,1,9,1,1
1,26.25,1,2,4,2,3,2,3,4,8,1,1
0,10.5,1,2,1,2,1,2,2,1,9,1,1
0,12.275,1,2,1,2,1,2,2,1,0,1,1
0,14.4542,2,1,4,1,0,3,2,4,9,1,1
1,15.5,1,1,4,1,0,3,2,4,9,1,1
0,10.5,1,2,1,2,1,2,2,1,2,1,1
0,7.125,1,1,1,2,1,2,2,1,10,1,1
0,7.225,2,1,1,2,1,2,2,1,9,1,1
0,90,1,3,1,2,1,3,2,3,9,2,3
0,7.775,1,1,4,2,1,2,2,4,9,1,1
1,14.5,1,2,4,2,1,2,3,5,9,1,1
1,52.5542,1,3,1,2,1,3,3,1,9,2,4
0,26,1,2,1,2,2,3,2,0,9,1,1
0,7.25,1,1,1,1,0,2,2,1,9,1,1
0,10.4625,1,1,4,2,1,3,3,5,9,2,2
0,26.55,1,3,1,2,2,2,2,1,9,2,3
0,16.1,1,1,1,2,1,3,2,1,1,1,1
0,20.2125,1,1,4,2,1,2,3,5,9,1,1
1,15.2458,2,1,4,2,1,2,3,5,9,1,1
1,79.2,2,3,4,1,0,2,2,5,15,1,1
1,86.5,1,3,4,2,1,2,2,4,9,2,4
1,512.3292,2,3,4,2,1,2,2,4,15,1,1
1,26,1,2,4,2,2,2,3,5,9,1,1
0,7.75,1,1,1,1,0,2,2,1,9,1,1
1,31.3875,1,1,1,2,3,1,3,3,9,1,1
0,79.65,1,3,1,2,2,3,3,1,9,2,4
0,0,1,3,1,2,1,2,2,1,9,2,4
0,7.75,1,1,4,1,0,2,2,4,9,1,1
0,10.5,1,2,1,2,1,2,2,1,8,1,1
0,39.6875,1,1,1,2,1,1,3,1,9,1,1
1,7.775,1,1,1,2,1,3,2,1,9,1,1
1,153.4625,1,3,4,2,2,2,3,5,15,2,3
1,135.6333,1,3,4,2,1,2,2,4,15,2,3
0,31,1,3,1,1,0,2,2,1,9,1,1
1,0,1,1,1,2,1,2,2,1,9,1,1
1,19.5,1,2,4,2,1,2,3,5,9,1,1
0,29.7,2,3,1,2,1,2,3,1,15,2,3
1,7.75,1,1,4,1,0,2,2,4,9,1,1
1,77.9583,1,3,4,2,2,3,2,4,9,2,4
0,7.75,1,1,4,2,1,2,2,4,9,1,1
0,0,1,2,1,1,0,2,2,1,9,1,1
0,29.125,1,1,1,2,3,1,3,3,9,1,1
1,20.25,1,1,4,2,1,3,3,5,8,1,1
0,7.75,1,1,1,2,2,2,2,1,9,1,1
0,7.8542,1,1,1,2,1,2,2,1,9,1,1
0,9.5,1,1,1,2,1,2,2,1,9,1,1
1,8.05,1,1,1,2,1,2,2,1,1,1,1
0,26,1,3,1,1,0,2,2,1,9,2,2
0,8.6625,2,1,1,2,1,2,2,1,9,1,1
1,9.5,1,1,1,2,1,2,2,1,9,1,1
0,7.8958,1,1,1,2,1,2,2,1,9,1,1
1,13,1,2,1,2,1,2,2,1,9,1,1
1,7.75,1,1,4,2,1,2,2,4,9,1,1
1,78.85,1,3,4,2,1,2,2,4,9,1,1
1,91.0792,2,3,4,2,1,3,2,5,9,2,4
0,12.875,2,2,1,2,1,2,2,1,10,2,4
0,8.85,1,1,4,2,1,2,2,4,9,1,1
0,7.8958,1,1,1,2,1,2,2,1,9,1,1
0,27.7208,2,3,1,1,0,2,2,1,15,1,1
0,7.2292,2,1,1,2,1,2,2,1,9,1,1
0,151.55,1,3,4,2,3,3,3,4,9,2,3
1,30.5,1,3,1,1,0,2,2,1,9,2,3
1,247.5208,2,3,4,2,2,2,3,5,15,2,4
1,7.75,1,1,4,1,0,2,2,4,9,1,1
1,23.25,1,1,1,1,0,3,2,1,9,1,1
0,0,1,1,1,2,1,2,2,1,9,1,1
1,12.35,1,2,4,1,0,2,2,4,9,2,4
0,8.05,1,1,1,1,0,2,2,1,1,1,1
1,151.55,1,3,1,2,3,3,3,3,9,2,3
1,110.8833,2,3,4,1,0,2,2,4,9,1,1
1,108.9,2,3,4,2,1,3,2,5,15,2,3
0,24,2,2,1,2,1,3,2,1,11,1,1
1,56.9292,2,3,4,2,1,2,2,4,15,2,4
1,83.1583,2,3,4,2,1,2,2,4,9,2,3
1,262.375,2,3,4,2,1,3,3,4,15,2,4
0,26,1,2,4,2,1,3,3,5,9,1,1
0,7.8958,1,1,1,2,1,2,2,1,9,1,1
0,26.25,1,2,1,2,1,3,3,1,18,1,1
1,7.8542,1,1,4,2,1,2,2,4,9,1,1
1,26,1,2,4,2,1,3,2,5,9,1,1
0,14,1,2,1,2,2,2,2,3,9,1,1
1,164.8667,1,3,4,2,1,2,3,4,9,2,3
1,134.5,2,3,4,2,1,3,3,5,9,2,4
0,7.25,1,1,1,2,1,2,2,1,1,1,1
0,7.8958,1,1,1,2,1,2,2,1,9,1,1
1,12.35,1,2,4,2,1,2,2,4,9,1,1
1,29,1,2,4,2,1,3,3,5,9,1,1
0,69.55,1,1,1,1,0,1,3,1,8,1,1
1,135.6333,2,3,4,2,1,2,2,4,15,2,3
0,6.2375,1,1,1,2,2,2,2,1,9,1,1
1,13,1,2,4,2,1,2,2,5,9,2,4
1,20.525,1,1,4,2,1,3,3,5,9,1,1
1,57.9792,2,3,4,2,1,2,3,4,9,2,4
1,23.25,1,1,4,1,0,3,2,4,9,1,1
0,28.5,1,3,1,2,1,2,2,1,9,2,3
0,153.4625,1,3,1,2,1,2,3,1,15,2,3
0,18,1,1,1,2,1,3,2,1,9,1,1
1,133.65,1,3,4,1,0,3,2,5,15,1,1
0,7.8958,1,1,1,1,0,2,2,1,9,1,1
0,66.6,1,3,1,2,1,3,2,1,9,2,3
1,134.5,2,3,4,2,1,2,2,4,9,2,4
1,8.05,1,1,1,2,1,2,2,1,9,1,1
0,35.5,1,3,1,2,1,2,2,1,9,2,0
1,26,1,2,1,2,3,3,3,3,9,2,3
1,263,1,3,4,2,1,1,3,4,9,2,3
0,13,1,2,1,2,1,2,2,1,9,1,1
0,13,1,2,1,2,1,2,2,1,9,1,1
0,13,1,2,1,2,1,2,2,1,9,1,1
1,13,1,2,4,2,1,2,2,4,9,2,3
1,13,1,2,4,2,1,2,2,4,9,1,1
1,16.1,1,1,4,1,0,3,2,5,9,1,1
1,15.9,1,1,1,2,3,3,3,3,8,1,1
0,8.6625,1,1,1,2,1,2,2,1,9,1,1
0,9.225,1,1,1,2,1,2,2,1,9,1,1
0,35,1,3,1,1,0,2,2,1,9,2,3
0,7.2292,2,1,1,2,3,3,3,1,9,1,1
0,17.8,1,1,1,2,1,3,2,1,9,1,1
0,7.225,2,1,1,1,0,2,2,1,9,1,1
0,9.5,1,1,1,2,1,2,2,1,9,1,1
1,55,1,3,4,2,1,2,3,4,9,2,4
0,13,1,2,4,2,1,2,2,4,9,1,1
1,7.8792,1,1,4,1,0,2,2,4,9,1,1
1,7.8792,1,1,4,1,0,2,2,4,9,1,1
0,27.9,1,1,1,2,1,3,1,1,9,1,1
0,27.7208,2,2,1,2,1,3,2,1,10,1,1
0,14.4542,2,1,4,2,1,2,3,5,9,1,1
0,7.05,1,1,1,2,1,2,2,1,3,1,1
0,15.5,1,1,1,1,0,3,2,1,9,1,1
0,7.25,1,1,1,2,1,2,2,1,9,1,1
1,75.25,2,3,4,2,2,3,2,5,9,2,4
1,7.2292,2,1,4,1,0,2,2,5,9,1,1
1,7.75,1,1,4,1,0,2,2,4,9,1,1
1,69.3,2,3,4,2,1,2,2,5,15,2,4
1,55.4417,2,3,1,2,1,3,2,1,9,2,4
0,6.4958,1,1,1,2,1,3,2,1,9,1,1
0,8.05,1,1,1,2,1,2,2,1,9,1,1
0,135.6333,2,3,1,2,1,2,2,1,15,1,1
0,21.075,1,1,4,2,3,1,3,4,9,1,1
1,82.1708,2,3,4,1,0,3,2,5,15,1,1
1,7.25,1,1,4,2,1,2,2,4,9,1,1
0,211.5,2,3,1,2,1,2,3,1,9,2,3
0,4.0125,2,1,1,2,1,2,2,1,9,1,1
0,7.775,1,1,1,2,1,2,2,1,9,1,1
1,227.525,2,3,4,2,1,2,2,4,15,1,1
1,15.7417,2,1,4,2,3,2,3,4,9,1,1
0,7.925,1,1,1,2,1,2,2,1,10,1,1
1,52,1,3,4,2,1,3,2,5,9,1,1
0,7.8958,1,1,1,1,0,2,2,1,9,1,1
0,73.5,1,2,1,2,1,2,2,1,4,1,1
0,46.9,1,1,1,2,3,1,3,3,8,1,1
1,13,1,2,4,2,1,2,2,4,9,1,1
0,7.7292,1,1,1,1,0,2,2,1,9,1,1
1,12,2,2,4,2,1,2,2,4,22,1,1
1,120,1,3,1,2,1,3,3,1,9,2,4
1,7.7958,1,1,1,2,1,2,2,1,9,1,1
0,7.925,1,1,1,2,1,3,2,1,9,1,1
1,113.275,2,3,4,2,1,3,2,4,9,2,4
1,16.7,1,1,4,2,1,2,3,5,15,2,2
0,7.7958,1,1,1,2,1,2,2,1,9,1,1
0,7.8542,1,1,4,2,1,2,2,4,9,1,1
0,26,1,2,1,2,1,2,2,1,9,1,1
0,10.5,1,2,1,2,1,2,2,3,9,1,1
1,12.65,1,2,4,2,1,2,2,5,9,1,1
1,7.925,1,1,1,2,1,2,2,1,10,1,1
0,8.05,1,1,1,2,1,2,2,1,9,1,1
0,9.825,1,1,4,2,1,3,2,4,9,1,1
0,15.85,1,1,1,2,1,3,2,1,10,1,1
0,8.6625,1,1,4,2,1,2,2,4,9,1,1
0,21,1,2,1,2,1,3,2,1,9,1,1
0,7.75,1,1,1,2,2,2,2,1,9,1,1
1,18.75,1,2,1,2,3,3,3,3,9,1,1
0,7.775,1,1,1,2,1,2,2,1,9,1,1
0,25.4667,1,1,4,1,0,1,3,4,9,1,1
0,7.8958,1,1,1,1,0,2,2,1,9,1,1
0,6.8583,1,1,1,1,0,2,2,1,9,1,1
1,90,1,3,4,2,1,3,2,4,9,2,3
0,0,1,2,1,1,0,2,2,1,9,1,1
1,7.925,1,1,1,2,1,2,2,1,10,1,1
0,8.05,1,1,4,1,0,2,2,5,9,1,1
1,32.5,1,2,4,2,1,3,3,5,9,1,1
1,13,1,2,4,2,1,2,3,4,9,1,1
0,13,1,2,1,2,1,2,2,1,9,1,1
0,24.15,1,1,4,2,3,2,3,4,9,1,1
0,7.8958,2,1,1,1,0,2,2,1,9,1,1
0,7.7333,1,1,1,2,1,2,2,1,1,1,1
0,7.875,1,1,1,2,1,2,2,1,9,1,1
0,14.4,1,1,4,2,1,3,3,5,9,1,1
0,20.2125,1,1,1,2,1,3,3,1,9,1,1
0,7.25,1,1,1,1,0,2,2,1,1,1,1
1,26,1,2,4,2,1,3,2,5,9,1,1
1,26,1,2,4,2,1,2,2,4,9,1,1
0,7.75,1,1,1,1,0,2,2,1,9,1,1
1,8.05,1,1,1,2,1,2,2,1,3,2,4
1,26.55,1,3,1,2,1,2,2,1,9,2,3
1,16.1,1,1,4,1,0,3,2,5,9,1,1
1,26,1,2,4,2,1,3,2,5,15,1,1
0,7.125,1,1,1,2,1,2,2,1,10,1,1
0,55.9,1,3,1,2,2,3,2,1,9,2,4
1,120,1,3,4,2,3,3,3,4,9,2,4
0,34.375,1,1,4,2,1,3,3,4,2,1,1
1,18.75,1,2,4,2,1,3,3,5,9,1,1
0,263,1,3,1,2,2,3,1,1,9,2,3
0,10.5,1,2,1,2,1,2,2,1,8,1,1
1,26.25,1,2,4,2,1,3,3,5,18,1,1
0,9.5,1,1,1,2,1,2,2,1,9,1,1
0,7.775,1,1,1,2,1,3,2,1,9,1,1
1,13,1,2,4,2,1,2,2,5,9,1,1
